TagID,Corner,CameraCombos,NumCameras,Expected_X,Expected_Y,Expected_Z,Calc_X,Error_X,Calc_Y,Error_Y,Calc_Z,Error_Z,Total_Error_cm,Status
0,0,camWest_SINGLE_CAM,1,176.00,3.00,22.00,176.01,0.01,3.04,0.04,22.06,0.06,0.07,SINGLE_CAM_ESTIMATE
0,1,camWest_SINGLE_CAM,1,176.00,3.00,43.50,176.01,0.01,3.10,0.10,43.68,0.18,0.20,SINGLE_CAM_ESTIMATE
0,2,camWest_SINGLE_CAM,1,197.50,3.00,43.50,197.59,0.09,3.13,0.13,43.69,0.19,0.25,SINGLE_CAM_ESTIMATE
0,3,camWest_SINGLE_CAM,1,197.50,3.00,22.00,197.56,0.06,3.07,0.07,22.08,0.08,0.12,SINGLE_CAM_ESTIMATE
1,0,camNorth_SINGLE_CAM,1,623.00,71.50,131.50,624.57,1.57,70.87,0.63,134.63,3.13,3.56,SINGLE_CAM_ESTIMATE
1,1,camNorth_SINGLE_CAM,1,623.00,71.50,153.00,624.77,1.77,70.88,0.62,156.86,3.86,4.29,SINGLE_CAM_ESTIMATE
1,2,camNorth_SINGLE_CAM,1,623.00,93.00,153.00,624.63,1.63,92.40,0.60,156.62,3.62,4.02,SINGLE_CAM_ESTIMATE
1,3,camNorth_SINGLE_CAM,1,623.00,93.00,131.50,624.44,1.44,92.40,0.60,134.40,2.90,3.29,SINGLE_CAM_ESTIMATE
2,0,camNorth+camEast,2,623.00,225.50,84.50,623.30,0.30,218.79,6.71,81.87,2.63,7.22,OK
2,1,camNorth+camEast,2,623.00,225.50,106.00,623.66,0.66,219.05,6.45,104.12,1.88,6.75,OK
2,2,camNorth+camEast,2,623.00,247.00,106.00,623.51,0.51,241.06,5.94,104.06,1.94,6.27,OK
2,3,camNorth+camEast,2,623.00,247.00,84.50,623.17,0.17,240.73,6.27,81.82,2.68,6.82,OK
3,0,camNorth+camEast,2,623.00,230.00,138.00,624.21,1.21,224.09,5.91,137.38,0.62,6.07,OK
3,1,camNorth+camEast,2,623.00,230.00,159.50,624.62,1.62,224.37,5.63,159.84,0.34,5.87,OK
3,2,camNorth+camEast,2,623.00,252.00,159.50,624.47,1.47,247.06,4.94,159.75,0.25,5.16,OK
3,3,camNorth+camEast,2,623.00,252.00,138.00,624.06,1.06,246.71,5.29,137.30,0.70,5.44,OK
4,0,camNorth+camEast,2,623.00,224.50,29.00,622.58,0.42,217.19,7.31,24.84,4.16,8.42,OK
4,1,camNorth+camEast,2,623.00,224.50,50.50,622.83,0.17,217.39,7.11,46.87,3.63,7.98,OK
4,2,camNorth+camEast,2,623.00,246.00,50.50,622.70,0.30,239.21,6.79,46.82,3.68,7.73,OK
4,3,camNorth+camEast,2,623.00,246.00,29.00,622.45,0.55,238.93,7.07,24.76,4.24,8.26,OK
5,0,camSouth+camWest,2,0.00,178.10,81.20,-0.86,0.86,178.45,0.35,83.90,2.70,2.86,OK
5,1,camSouth+camWest,2,0.00,178.10,102.70,-0.83,0.83,178.48,0.38,106.12,3.42,3.54,OK
5,2,camSouth+camWest,2,0.00,156.60,102.70,-0.91,0.91,156.75,0.15,105.95,3.25,3.38,OK
5,3,camSouth+camWest,2,0.00,156.60,81.20,-0.95,0.95,156.76,0.16,83.74,2.54,2.72,OK
6,0,camNorth+camEast,2,623.00,166.00,26.50,622.95,0.05,158.52,7.48,22.80,3.70,8.35,OK
6,1,camNorth+camEast,2,623.00,166.00,48.00,623.20,0.20,158.43,7.57,44.74,3.26,8.24,OK
6,2,camNorth+camEast,2,623.00,187.50,48.00,623.04,0.04,179.99,7.51,44.52,3.48,8.28,OK
6,3,camNorth+camEast,2,623.00,187.50,26.50,622.80,0.20,179.96,7.54,22.54,3.96,8.52,OK
7,0,camSouth+camWest,2,0.80,89.30,46.50,-0.58,1.38,89.17,0.13,47.71,1.21,1.84,OK
7,1,camSouth+camWest,2,0.80,89.30,68.00,-0.56,1.36,89.05,0.25,69.77,1.77,2.24,OK
7,2,camSouth+camWest,2,0.80,67.80,68.00,-0.71,1.51,67.39,0.41,69.71,1.71,2.31,OK
7,3,camSouth+camWest,2,0.80,67.80,46.50,-0.74,1.54,67.55,0.25,47.64,1.14,1.94,OK
8,0,camSouth+camWest,2,0.80,62.50,99.50,-0.59,1.39,61.73,0.77,102.20,2.70,3.13,OK
8,1,camSouth+camWest,2,0.80,62.50,121.00,-0.44,1.24,61.49,1.01,124.47,3.47,3.81,OK
8,2,camSouth+camWest,2,0.80,41.00,121.00,-0.50,1.30,39.67,1.33,124.45,3.45,3.92,OK
8,3,camSouth+camWest,2,0.80,41.00,99.50,-0.69,1.49,39.95,1.05,102.19,2.69,3.25,OK
9,0,camSouth+camWest,2,0.80,90.90,158.30,-0.13,0.93,89.96,0.94,163.14,4.84,5.02,OK
9,1,camSouth+camWest,2,0.80,90.90,179.80,-0.10,0.90,89.82,1.08,185.25,5.45,5.62,OK
9,2,camSouth+camWest,2,0.80,69.40,179.80,-0.13,0.93,67.95,1.45,185.14,5.34,5.62,OK
9,3,camSouth+camWest,2,0.80,69.40,158.30,-0.18,0.98,68.11,1.29,163.06,4.76,5.03,OK
10,0,camEast+camSouth,2,463.70,298.00,85.00,464.32,0.62,298.12,0.12,85.30,0.30,0.70,OK
10,1,camEast+camSouth,2,463.70,298.00,106.50,464.31,0.61,298.09,0.09,106.87,0.37,0.72,OK
10,2,camEast+camSouth,2,442.20,298.00,106.50,442.56,0.36,298.08,0.08,106.78,0.28,0.46,OK
10,3,camEast+camSouth,2,442.20,298.00,85.00,442.54,0.34,298.10,0.10,85.21,0.21,0.41,OK
11,0,camNorth_SINGLE_CAM,1,623.00,67.50,28.50,623.78,0.78,67.16,0.34,29.31,0.81,1.17,SINGLE_CAM_ESTIMATE
11,1,camNorth_SINGLE_CAM,1,623.00,67.50,50.00,623.92,0.92,67.08,0.42,51.14,1.14,1.52,SINGLE_CAM_ESTIMATE
11,2,camNorth_SINGLE_CAM,1,623.00,89.00,50.00,623.81,0.81,88.62,0.38,50.98,0.98,1.33,SINGLE_CAM_ESTIMATE
11,3,camNorth_SINGLE_CAM,1,623.00,89.00,28.50,623.68,0.68,88.70,0.30,29.18,0.68,1.01,SINGLE_CAM_ESTIMATE
12,0,camNorth+camEast,2,260.70,298.00,147.40,258.53,2.17,301.87,3.87,152.62,5.22,6.85,OK
12,1,camNorth+camEast,2,260.70,298.00,168.90,258.24,2.46,301.18,3.18,174.09,5.19,6.56,OK
12,2,camNorth+camEast,2,239.20,298.00,168.90,235.96,3.24,300.66,2.66,173.85,4.95,6.49,OK
12,3,camNorth+camEast,2,239.20,298.00,147.40,236.21,2.99,301.39,3.39,152.43,5.03,6.76,OK
13,0,camNorth+camEast,2,260.70,298.00,33.40,260.03,0.67,304.53,6.53,38.19,4.79,8.13,OK
13,0,camNorth+camSouth,2,260.70,298.00,33.40,245.77,14.93,293.14,4.86,30.33,3.07,15.99,OK
13,0,camEast+camSouth,2,260.70,298.00,33.40,259.80,0.90,297.96,0.04,33.30,0.10,0.90,OK
13,0,camNorth+camEast+camSouth,3,260.70,298.00,33.40,255.20,5.50,298.55,0.55,33.94,0.54,5.55,OK
13,1,camNorth+camEast,2,260.70,298.00,54.90,259.78,0.92,304.11,6.11,59.80,4.90,7.89,OK
13,1,camNorth+camSouth,2,260.70,298.00,54.90,246.61,14.09,293.66,4.34,52.46,2.44,14.94,OK
13,1,camEast+camSouth,2,260.70,298.00,54.90,259.70,1.00,297.90,0.10,54.86,0.04,1.01,OK
13,1,camNorth+camEast+camSouth,3,260.70,298.00,54.90,255.36,5.34,298.56,0.56,55.71,0.81,5.43,OK
13,2,camNorth+camEast,2,239.20,298.00,54.90,237.34,1.86,303.81,5.81,59.67,4.77,7.74,OK
13,2,camNorth+camSouth,2,239.20,298.00,54.90,223.46,15.74,293.15,4.85,52.10,2.80,16.71,OK
13,2,camEast+camSouth,2,239.20,298.00,54.90,237.61,1.59,297.72,0.28,54.73,0.17,1.62,OK
13,2,camNorth+camEast+camSouth,3,239.20,298.00,54.90,232.80,6.40,298.23,0.23,55.50,0.60,6.43,OK
13,3,camNorth+camEast,2,239.20,298.00,33.40,237.55,1.65,304.24,6.24,38.03,4.63,7.94,OK
13,3,camNorth+camSouth,2,239.20,298.00,33.40,222.07,17.13,292.34,5.66,29.78,3.62,18.40,OK
13,3,camEast+camSouth,2,239.20,298.00,33.40,237.73,1.47,297.80,0.20,33.17,0.23,1.51,OK
13,3,camNorth+camEast+camSouth,3,239.20,298.00,33.40,232.45,6.75,298.13,0.13,33.66,0.26,6.75,OK
14,0,camNorth+camEast,2,428.70,298.00,21.00,429.22,0.52,299.86,1.86,22.26,1.26,2.30,OK
14,0,camNorth+camSouth,2,428.70,298.00,21.00,426.67,2.03,297.49,0.51,20.63,0.37,2.13,OK
14,0,camEast+camSouth,2,428.70,298.00,21.00,428.96,0.26,298.15,0.15,21.06,0.06,0.31,OK
14,0,camNorth+camEast+camSouth,3,428.70,298.00,21.00,428.28,0.42,298.50,0.50,21.32,0.32,0.73,OK
14,1,camNorth+camEast,2,428.70,298.00,42.50,429.15,0.45,299.86,1.86,43.91,1.41,2.38,OK
14,1,camNorth+camSouth,2,428.70,298.00,42.50,426.49,2.21,297.40,0.60,42.22,0.28,2.31,OK
14,1,camEast+camSouth,2,428.70,298.00,42.50,428.92,0.22,298.12,0.12,42.59,0.09,0.27,OK
14,1,camNorth+camEast+camSouth,3,428.70,298.00,42.50,428.19,0.51,298.46,0.46,42.91,0.41,0.80,OK
14,2,camNorth+camEast,2,407.20,298.00,42.50,408.07,0.87,301.08,3.08,44.77,2.27,3.92,OK
14,2,camNorth+camSouth,2,407.20,298.00,42.50,404.00,3.20,297.10,0.90,42.06,0.44,3.35,OK
14,2,camEast+camSouth,2,407.20,298.00,42.50,407.29,0.09,298.11,0.11,42.56,0.06,0.16,OK
14,2,camNorth+camEast+camSouth,3,407.20,298.00,42.50,406.46,0.74,298.76,0.76,43.13,0.63,1.24,OK
14,3,camNorth+camEast,2,407.20,298.00,21.00,408.35,1.15,301.40,3.40,23.32,2.32,4.27,OK
14,3,camNorth+camSouth,2,407.20,298.00,21.00,404.21,2.99,297.21,0.79,20.45,0.55,3.14,OK
14,3,camEast+camSouth,2,407.20,298.00,21.00,407.30,0.10,298.12,0.12,21.03,0.03,0.16,OK
14,3,camNorth+camEast+camSouth,3,407.20,298.00,21.00,406.62,0.58,298.91,0.91,21.60,0.60,1.23,OK
15,0,camNorth+camEast,2,426.70,298.00,144.50,427.23,0.53,300.62,2.62,147.77,3.27,4.23,OK
15,0,camNorth+camSouth,2,426.70,298.00,144.50,424.17,2.53,297.77,0.23,145.58,1.08,2.76,OK
15,0,camEast+camSouth,2,426.70,298.00,144.50,427.00,0.30,298.05,0.05,144.95,0.45,0.54,OK
15,0,camNorth+camEast+camSouth,3,426.70,298.00,144.50,426.13,0.57,298.82,0.82,146.10,1.60,1.88,OK
15,1,camNorth+camEast,2,426.70,298.00,166.00,427.22,0.52,300.69,2.69,169.79,3.79,4.68,OK
15,1,camNorth+camSouth,2,426.70,298.00,166.00,424.48,2.22,298.16,0.16,167.63,1.63,2.76,OK
15,1,camEast+camSouth,2,426.70,298.00,166.00,427.02,0.32,298.02,0.02,166.62,0.62,0.70,OK
15,1,camNorth+camEast+camSouth,3,426.70,298.00,166.00,426.24,0.46,298.96,0.96,168.02,2.02,2.28,OK
15,2,camNorth+camEast,2,405.20,298.00,166.00,405.65,0.45,301.22,3.22,170.24,4.24,5.34,OK
15,2,camNorth+camSouth,2,405.20,298.00,166.00,402.48,2.72,298.22,0.22,167.74,1.74,3.24,OK
15,2,camEast+camSouth,2,405.20,298.00,166.00,405.37,0.17,298.03,0.03,166.61,0.61,0.63,OK
15,2,camNorth+camEast+camSouth,3,405.20,298.00,166.00,404.50,0.70,299.15,1.15,168.19,2.19,2.58,OK
15,3,camNorth+camEast,2,405.20,298.00,144.50,405.74,0.54,301.25,3.25,148.29,3.79,5.02,OK
15,3,camNorth+camSouth,2,405.20,298.00,144.50,402.01,3.19,297.73,0.27,145.64,1.14,3.39,OK
15,3,camEast+camSouth,2,405.20,298.00,144.50,405.36,0.16,298.07,0.07,144.94,0.44,0.47,OK
15,3,camNorth+camEast+camSouth,3,405.20,298.00,144.50,404.37,0.83,299.02,1.02,146.29,1.79,2.22,OK
