rank,score,role,name,x,y,z,look_x,look_y,look_z
1,11.371966,north_wall,north_wall_000,80.0,450.0,1650.0,6230.0,1525.0,1100.0
1,11.371966,north_wall,north_wall_034,80.0,2650.0,2350.0,6230.0,1525.0,1100.0
1,11.371966,south_wall,south_wall_020,6150.0,2450.0,2500.0,2200.0,1525.0,950.0
1,11.371966,east_low,east_low_016,3300.0,70.0,350.0,4400.0,1525.0,850.0
1,11.371966,west_low,west_low_019,3300.0,2980.0,1050.0,4400.0,1525.0,850.0
1,11.371966,bounce_E,bounce_E_000,4500.0,70.0,250.0,6120.0,1525.0,300.0
2,11.371966,north_wall,north_wall_034,80.0,2650.0,2350.0,6230.0,1525.0,1100.0
2,11.371966,north_wall,north_wall_000,80.0,450.0,1650.0,6230.0,1525.0,1100.0
2,11.371966,south_wall,south_wall_020,6150.0,2450.0,2500.0,2200.0,1525.0,950.0
2,11.371966,east_low,east_low_016,3300.0,70.0,350.0,4400.0,1525.0,850.0
2,11.371966,west_low,west_low_019,3300.0,2980.0,1050.0,4400.0,1525.0,850.0
2,11.371966,bounce_E,bounce_E_000,4500.0,70.0,250.0,6120.0,1525.0,300.0
3,11.365331,north_wall,north_wall_000,80.0,450.0,1650.0,6230.0,1525.0,1100.0
3,11.365331,north_wall,north_wall_034,80.0,2650.0,2350.0,6230.0,1525.0,1100.0
3,11.365331,south_wall,south_wall_017,6150.0,2150.0,2500.0,2200.0,1525.0,950.0
3,11.365331,east_low,east_low_016,3300.0,70.0,350.0,4400.0,1525.0,850.0
3,11.365331,west_low,west_low_019,3300.0,2980.0,1050.0,4400.0,1525.0,850.0
3,11.365331,bounce_E,bounce_E_000,4500.0,70.0,250.0,6120.0,1525.0,300.0
4,11.365331,north_wall,north_wall_034,80.0,2650.0,2350.0,6230.0,1525.0,1100.0
4,11.365331,north_wall,north_wall_000,80.0,450.0,1650.0,6230.0,1525.0,1100.0
4,11.365331,south_wall,south_wall_017,6150.0,2150.0,2500.0,2200.0,1525.0,950.0
4,11.365331,east_low,east_low_016,3300.0,70.0,350.0,4400.0,1525.0,850.0
4,11.365331,west_low,west_low_019,3300.0,2980.0,1050.0,4400.0,1525.0,850.0
4,11.365331,bounce_E,bounce_E_000,4500.0,70.0,250.0,6120.0,1525.0,300.0
5,11.361119,north_wall,north_wall_000,80.0,450.0,1650.0,6230.0,1525.0,1100.0
5,11.361119,north_wall,north_wall_034,80.0,2650.0,2350.0,6230.0,1525.0,1100.0
5,11.361119,south_wall,south_wall_019,6150.0,2450.0,2250.0,2200.0,1525.0,950.0
5,11.361119,east_low,east_low_016,3300.0,70.0,350.0,4400.0,1525.0,850.0
5,11.361119,west_low,west_low_019,3300.0,2980.0,1050.0,4400.0,1525.0,850.0
5,11.361119,bounce_E,bounce_E_000,4500.0,70.0,250.0,6120.0,1525.0,300.0
6,11.361119,north_wall,north_wall_034,80.0,2650.0,2350.0,6230.0,1525.0,1100.0
6,11.361119,north_wall,north_wall_000,80.0,450.0,1650.0,6230.0,1525.0,1100.0
6,11.361119,south_wall,south_wall_019,6150.0,2450.0,2250.0,2200.0,1525.0,950.0
6,11.361119,east_low,east_low_016,3300.0,70.0,350.0,4400.0,1525.0,850.0
6,11.361119,west_low,west_low_019,3300.0,2980.0,1050.0,4400.0,1525.0,850.0
6,11.361119,bounce_E,bounce_E_000,4500.0,70.0,250.0,6120.0,1525.0,300.0
7,11.360952,north_wall,north_wall_000,80.0,450.0,1650.0,6230.0,1525.0,1100.0
7,11.360952,north_wall,north_wall_034,80.0,2650.0,2350.0,6230.0,1525.0,1100.0
7,11.360952,south_wall,south_wall_014,6150.0,1850.0,2500.0,2200.0,1525.0,950.0
7,11.360952,east_low,east_low_016,3300.0,70.0,350.0,4400.0,1525.0,850.0
7,11.360952,west_low,west_low_019,3300.0,2980.0,1050.0,4400.0,1525.0,850.0
7,11.360952,bounce_E,bounce_E_000,4500.0,70.0,250.0,6120.0,1525.0,300.0
8,11.360952,north_wall,north_wall_034,80.0,2650.0,2350.0,6230.0,1525.0,1100.0
8,11.360952,north_wall,north_wall_000,80.0,450.0,1650.0,6230.0,1525.0,1100.0
8,11.360952,south_wall,south_wall_014,6150.0,1850.0,2500.0,2200.0,1525.0,950.0
8,11.360952,east_low,east_low_016,3300.0,70.0,350.0,4400.0,1525.0,850.0
8,11.360952,west_low,west_low_019,3300.0,2980.0,1050.0,4400.0,1525.0,850.0
8,11.360952,bounce_E,bounce_E_000,4500.0,70.0,250.0,6120.0,1525.0,300.0
9,11.360054,north_wall,north_wall_000,80.0,450.0,1650.0,6230.0,1525.0,1100.0
9,11.360054,north_wall,north_wall_035,80.0,2650.0,2600.0,6230.0,1525.0,1100.0
9,11.360054,south_wall,south_wall_020,6150.0,2450.0,2500.0,2200.0,1525.0,950.0
9,11.360054,east_low,east_low_016,3300.0,70.0,350.0,4400.0,1525.0,850.0
9,11.360054,west_low,west_low_019,3300.0,2980.0,1050.0,4400.0,1525.0,850.0
9,11.360054,bounce_E,bounce_E_000,4500.0,70.0,250.0,6120.0,1525.0,300.0
10,11.360054,north_wall,north_wall_035,80.0,2650.0,2600.0,6230.0,1525.0,1100.0
10,11.360054,north_wall,north_wall_000,80.0,450.0,1650.0,6230.0,1525.0,1100.0
10,11.360054,south_wall,south_wall_020,6150.0,2450.0,2500.0,2200.0,1525.0,950.0
10,11.360054,east_low,east_low_016,3300.0,70.0,350.0,4400.0,1525.0,850.0
10,11.360054,west_low,west_low_019,3300.0,2980.0,1050.0,4400.0,1525.0,850.0
10,11.360054,bounce_E,bounce_E_000,4500.0,70.0,250.0,6120.0,1525.0,300.0
11,11.357940,north_wall,north_wall_000,80.0,450.0,1650.0,6230.0,1525.0,1100.0
11,11.357940,north_wall,north_wall_034,80.0,2650.0,2350.0,6230.0,1525.0,1100.0
11,11.357940,south_wall,south_wall_008,6150.0,1250.0,2500.0,2200.0,1525.0,950.0
11,11.357940,east_low,east_low_016,3300.0,70.0,350.0,4400.0,1525.0,850.0
11,11.357940,west_low,west_low_019,3300.0,2980.0,1050.0,4400.0,1525.0,850.0
11,11.357940,bounce_E,bounce_E_000,4500.0,70.0,250.0,6120.0,1525.0,300.0
12,11.357940,north_wall,north_wall_034,80.0,2650.0,2350.0,6230.0,1525.0,1100.0
12,11.357940,north_wall,north_wall_000,80.0,450.0,1650.0,6230.0,1525.0,1100.0
12,11.357940,south_wall,south_wall_008,6150.0,1250.0,2500.0,2200.0,1525.0,950.0
12,11.357940,east_low,east_low_016,3300.0,70.0,350.0,4400.0,1525.0,850.0
12,11.357940,west_low,west_low_019,3300.0,2980.0,1050.0,4400.0,1525.0,850.0
12,11.357940,bounce_E,bounce_E_000,4500.0,70.0,250.0,6120.0,1525.0,300.0
13,11.357666,north_wall,north_wall_000,80.0,450.0,1650.0,6230.0,1525.0,1100.0
13,11.357666,north_wall,north_wall_034,80.0,2650.0,2350.0,6230.0,1525.0,1100.0
13,11.357666,south_wall,south_wall_005,6150.0,950.0,2500.0,2200.0,1525.0,950.0
13,11.357666,east_low,east_low_016,3300.0,70.0,350.0,4400.0,1525.0,850.0
13,11.357666,west_low,west_low_019,3300.0,2980.0,1050.0,4400.0,1525.0,850.0
13,11.357666,bounce_E,bounce_E_000,4500.0,70.0,250.0,6120.0,1525.0,300.0
14,11.357666,north_wall,north_wall_034,80.0,2650.0,2350.0,6230.0,1525.0,1100.0
14,11.357666,north_wall,north_wall_000,80.0,450.0,1650.0,6230.0,1525.0,1100.0
14,11.357666,south_wall,south_wall_005,6150.0,950.0,2500.0,2200.0,1525.0,950.0
14,11.357666,east_low,east_low_016,3300.0,70.0,350.0,4400.0,1525.0,850.0
14,11.357666,west_low,west_low_019,3300.0,2980.0,1050.0,4400.0,1525.0,850.0
14,11.357666,bounce_E,bounce_E_000,4500.0,70.0,250.0,6120.0,1525.0,300.0
15,11.354922,north_wall,north_wall_000,80.0,450.0,1650.0,6230.0,1525.0,1100.0
15,11.354922,north_wall,north_wall_034,80.0,2650.0,2350.0,6230.0,1525.0,1100.0
15,11.354922,south_wall,south_wall_002,6150.0,650.0,2500.0,2200.0,1525.0,950.0
15,11.354922,east_low,east_low_016,3300.0,70.0,350.0,4400.0,1525.0,850.0
15,11.354922,west_low,west_low_019,3300.0,2980.0,1050.0,4400.0,1525.0,850.0
15,11.354922,bounce_E,bounce_E_000,4500.0,70.0,250.0,6120.0,1525.0,300.0
16,11.354922,north_wall,north_wall_034,80.0,2650.0,2350.0,6230.0,1525.0,1100.0
16,11.354922,north_wall,north_wall_000,80.0,450.0,1650.0,6230.0,1525.0,1100.0
16,11.354922,south_wall,south_wall_002,6150.0,650.0,2500.0,2200.0,1525.0,950.0
16,11.354922,east_low,east_low_016,3300.0,70.0,350.0,4400.0,1525.0,850.0
16,11.354922,west_low,west_low_019,3300.0,2980.0,1050.0,4400.0,1525.0,850.0
16,11.354922,bounce_E,bounce_E_000,4500.0,70.0,250.0,6120.0,1525.0,300.0
17,11.354798,north_wall,north_wall_000,80.0,450.0,1650.0,6230.0,1525.0,1100.0
17,11.354798,north_wall,north_wall_034,80.0,2650.0,2350.0,6230.0,1525.0,1100.0
17,11.354798,south_wall,south_wall_016,6150.0,2150.0,2250.0,2200.0,1525.0,950.0
17,11.354798,east_low,east_low_016,3300.0,70.0,350.0,4400.0,1525.0,850.0
17,11.354798,west_low,west_low_019,3300.0,2980.0,1050.0,4400.0,1525.0,850.0
17,11.354798,bounce_E,bounce_E_000,4500.0,70.0,250.0,6120.0,1525.0,300.0
18,11.354798,north_wall,north_wall_034,80.0,2650.0,2350.0,6230.0,1525.0,1100.0
18,11.354798,north_wall,north_wall_000,80.0,450.0,1650.0,6230.0,1525.0,1100.0
18,11.354798,south_wall,south_wall_016,6150.0,2150.0,2250.0,2200.0,1525.0,950.0
18,11.354798,east_low,east_low_016,3300.0,70.0,350.0,4400.0,1525.0,850.0
18,11.354798,west_low,west_low_019,3300.0,2980.0,1050.0,4400.0,1525.0,850.0
18,11.354798,bounce_E,bounce_E_000,4500.0,70.0,250.0,6120.0,1525.0,300.0
19,11.354428,north_wall,north_wall_000,80.0,450.0,1650.0,6230.0,1525.0,1100.0
19,11.354428,north_wall,north_wall_034,80.0,2650.0,2350.0,6230.0,1525.0,1100.0
19,11.354428,south_wall,south_wall_011,6150.0,1550.0,2500.0,2200.0,1525.0,950.0
19,11.354428,east_low,east_low_016,3300.0,70.0,350.0,4400.0,1525.0,850.0
19,11.354428,west_low,west_low_019,3300.0,2980.0,1050.0,4400.0,1525.0,850.0
19,11.354428,bounce_E,bounce_E_000,4500.0,70.0,250.0,6120.0,1525.0,300.0
20,11.354428,north_wall,north_wall_034,80.0,2650.0,2350.0,6230.0,1525.0,1100.0
20,11.354428,north_wall,north_wall_000,80.0,450.0,1650.0,6230.0,1525.0,1100.0
20,11.354428,south_wall,south_wall_011,6150.0,1550.0,2500.0,2200.0,1525.0,950.0
20,11.354428,east_low,east_low_016,3300.0,70.0,350.0,4400.0,1525.0,850.0
20,11.354428,west_low,west_low_019,3300.0,2980.0,1050.0,4400.0,1525.0,850.0
20,11.354428,bounce_E,bounce_E_000,4500.0,70.0,250.0,6120.0,1525.0,300.0
21,11.353862,north_wall,north_wall_000,80.0,450.0,1650.0,6230.0,1525.0,1100.0
21,11.353862,north_wall,north_wall_035,80.0,2650.0,2600.0,6230.0,1525.0,1100.0
21,11.353862,south_wall,south_wall_017,6150.0,2150.0,2500.0,2200.0,1525.0,950.0
21,11.353862,east_low,east_low_016,3300.0,70.0,350.0,4400.0,1525.0,850.0
21,11.353862,west_low,west_low_019,3300.0,2980.0,1050.0,4400.0,1525.0,850.0
21,11.353862,bounce_E,bounce_E_000,4500.0,70.0,250.0,6120.0,1525.0,300.0
22,11.353862,north_wall,north_wall_035,80.0,2650.0,2600.0,6230.0,1525.0,1100.0
22,11.353862,north_wall,north_wall_000,80.0,450.0,1650.0,6230.0,1525.0,1100.0
22,11.353862,south_wall,south_wall_017,6150.0,2150.0,2500.0,2200.0,1525.0,950.0
22,11.353862,east_low,east_low_016,3300.0,70.0,350.0,4400.0,1525.0,850.0
22,11.353862,west_low,west_low_019,3300.0,2980.0,1050.0,4400.0,1525.0,850.0
22,11.353862,bounce_E,bounce_E_000,4500.0,70.0,250.0,6120.0,1525.0,300.0
23,11.352747,north_wall,north_wall_000,80.0,450.0,1650.0,6230.0,1525.0,1100.0
23,11.352747,north_wall,north_wall_034,80.0,2650.0,2350.0,6230.0,1525.0,1100.0
23,11.352747,south_wall,south_wall_013,6150.0,1850.0,2250.0,2200.0,1525.0,950.0
